similarity ratings of crimes (Howe 1988),,,,,,,,,,,,,,,,,,
,arson,burglary,childMoles,distPeace,DWI,embezzlement,kidnapping,libel,manslaughter,murder-prem.,perjury,aggAssault,rape,rioting,armRobbery,sellDrugs,shoplifting,vandalism
arson,,,,,,,,,,,,,,,,,,
burglary,133,,,,,,,,,,,,,,,,,
childMoles,81,86,,,,,,,,,,,,,,,,
distPeace,106,106,47,,,,,,,,,,,,,,,
DWI,94,69,91,99,,,,,,,,,,,,,,
embezzlement,88,125,59,64,60,,,,,,,,,,,,,
kidnapping,92,102,165,69,103,95,,,,,,,,,,,,
libel,77,66,41,105,68,119,64,,,,,,,,,,,
manslaughter,106,101,141,46,159,64,124,65,,,,,,,,,,
murder-prem.,118,103,161,57,119,60,149,64,167,,,,,,,,,
perjury,90,89,52,102,73,135,76,164,60,71,,,,,,,,
aggAssault,101,120,159,99,122,71,134,95,151,141,81,,,,,,,
rape,65,99,186,54,95,61,155,63,152,170,62,175,,,,,,
rioting,115,175,63,182,81,75,61,94,81,81,72,136,75,,,,,
armRobbery,116,169,110,84,110,83,130,68,141,142,66,146,130,99,,,,
sellDrugs,100,89,81,73,106,106,88,66,86,100,86,100,60,79,99,,,
shoplifting,80,178,49,111,54,149,105,77,48,59,119,67,49,112,104,95,,
vandalism,162,138,69,145,96,80,74,100,60,77,102,109,78,158,103,86,121,
